DIA_INICIO;DIA_FINAL;SECCION_ANOMALIA;RECEPCIONADAS;ABIERTAS;CERRADAS;ABIERTAS_SIN_ACTUAR;ACTUADAS_NO_CERRADAS;ACTUADAS_Y_CERRADAS;VISADAS_NO_ACTUADAS;CERRADAS_POR_CANCELACION;TRASLADOS_INTERNOS
12/02/2018;18/02/2018;TOTAL;1.132;1.108;24;434;674;23;60;1;4
19/02/2018;25/02/2018;BICICLETA PUBLICA;485;478;7;72;406;6;48;1;0
19/02/2018;25/02/2018;SEÑALIZACION ;119;117;2;117;0;1;0;1;7
19/02/2018;25/02/2018;SER;658;654;4;205;449;3;71;1;0
19/02/2018;25/02/2018;TOTAL;1.262;1.249;13;394;855;10;119;3;7
26/02/2018;04/03/2018;BICICLETA PUBLICA;295;288;7;24;264;7;12;0;0
26/02/2018;04/03/2018;SEÑALIZACION ;143;143;0;143;0;0;0;0;6
26/02/2018;04/03/2018;SER;876;738;138;248;490;138;89;0;1
26/02/2018;04/03/2018;TOTAL;1.314;1.169;145;415;754;145;101;0;7
05/03/2018;11/03/2018;BICICLETA PUBLICA;320;312;8;29;283;8;16;0;0
05/03/2018;11/03/2018;SEÑALIZACION ;115;112;3;112;0;3;0;0;5
05/03/2018;11/03/2018;SER;1.103;377;726;263;114;726;93;0;0
05/03/2018;11/03/2018;TOTAL;1.538;801;737;404;397;737;109;0;5
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
