DIA_INICIO;DIA_FINAL;SECCION_ANOMALIA;RECEPCIONADAS;ABIERTAS;CERRADAS;ABIERTAS_SIN_ACTUAR;ACTUADAS_NO_CERRADAS;ACTUADAS_Y_CERRADAS;VISADAS_NO_ACTUADAS;CERRADAS_POR_CANCELACION;TRASLADOS_INTERNOS
10/07/2017;16/07/2017;BICICLETA PUBLICA;1.079;1.066;13;117;949;13;104;0;0
10/07/2017;16/07/2017;SEÑALIZACION ;85;83;2;80;3;1;0;1;7
10/07/2017;16/07/2017;SER;792;700;92;150;550;92;106;0;0
10/07/2017;16/07/2017;TOTAL;1.956;1.849;107;347;1.502;106;210;1;7
17/07/2017;23/07/2017;BICICLETA PUBLICA;1.011;1.001;10;185;816;10;174;0;0
17/07/2017;23/07/2017;SEÑALIZACION ;86;85;1;85;0;1;0;0;6
17/07/2017;23/07/2017;SER;646;638;8;108;530;8;66;0;2
17/07/2017;23/07/2017;TOTAL;1.743;1.724;19;378;1.346;19;240;0;8
24/07/2017;30/07/2017;BICICLETA PUBLICA;855;843;12;128;715;12;95;0;0
24/07/2017;30/07/2017;SEÑALIZACION ;97;97;0;97;0;0;0;0;3
24/07/2017;30/07/2017;SER;626;188;438;78;110;438;58;0;0
24/07/2017;30/07/2017;TOTAL;1.578;1.128;450;303;825;450;153;0;3
31/07/2017;06/08/2017;BICICLETA PUBLICA;719;634;85;42;592;85;37;0;0
31/07/2017;06/08/2017;SEÑALIZACION ;100;100;0;100;0;0;0;0;4
31/07/2017;06/08/2017;SER;421;416;5;123;293;5;81;0;0
31/07/2017;06/08/2017;TOTAL;1.240;1.150;90;265;885;90;118;0;4
07/08/2017;13/08/2017;BICICLETA PUBLICA;523;87;436;6;81;436;3;0;0
07/08/2017;13/08/2017;SEÑALIZACION ;80;57;23;57;0;23;0;0;0
07/08/2017;13/08/2017;SER;553;152;401;150;2;401;16;0;1
07/08/2017;13/08/2017;TOTAL;1.156;296;860;213;83;860;19;0;1
14/08/2017;20/08/2017;BICICLETA PUBLICA;444;385;59;8;377;59;3;0;0
14/08/2017;20/08/2017;SEÑALIZACION ;55;51;4;50;1;3;0;1;1
14/08/2017;20/08/2017;SER;282;106;176;104;2;175;2;1;0
14/08/2017;20/08/2017;TOTAL;781;542;239;162;380;237;5;2;1
21/08/2017;27/08/2017;BICICLETA PUBLICA;655;639;16;18;621;14;12;2;0
21/08/2017;27/08/2017;SEÑALIZACION ;100;99;1;99;0;1;0;0;4
21/08/2017;27/08/2017;SER;364;206;158;179;27;158;12;0;0
21/08/2017;27/08/2017;TOTAL;1.119;944;175;296;648;173;24;2;4
28/08/2017;03/09/2017;BICICLETA PUBLICA;768;761;7;109;652;7;88;0;0
28/08/2017;03/09/2017;SEÑALIZACION ;109;109;0;109;0;0;0;0;12
28/08/2017;03/09/2017;SER;465;374;91;262;112;90;76;1;0
28/08/2017;03/09/2017;TOTAL;1.342;1.244;98;480;764;97;164;1;12
04/09/2017;10/09/2017;BICICLETA PUBLICA;898;885;13;42;843;13;38;0;0
04/09/2017;10/09/2017;SEÑALIZACION ;141;141;0;141;0;0;0;0;2
04/09/2017;10/09/2017;SER;1.169;947;222;669;278;222;130;0;0
04/09/2017;10/09/2017;TOTAL;2.208;1.973;235;852;1.121;235;168;0;2
11/09/2017;17/09/2017;BICICLETA PUBLICA;1.010;1.000;10;89;911;10;59;0;0
11/09/2017;17/09/2017;SEÑALIZACION ;129;127;2;127;0;2;0;0;7
11/09/2017;17/09/2017;SER;761;611;150;401;210;148;71;2;1
11/09/2017;17/09/2017;TOTAL;1.900;1.738;162;617;1.121;160;130;2;8
18/09/2017;24/09/2017;BICICLETA PUBLICA;969;960;9;78;882;7;68;2;0
18/09/2017;24/09/2017;SEÑALIZACION ;138;137;1;137;0;0;0;1;6
18/09/2017;24/09/2017;SER;756;637;119;457;180;119;106;0;0
18/09/2017;24/09/2017;TOTAL;1.863;1.734;129;672;1.062;126;174;3;6
25/09/2017;01/10/2017;BICICLETA PUBLICA;1.082;1.067;15;170;897;15;109;0;0
25/09/2017;01/10/2017;SEÑALIZACION ;129;128;1;128;0;0;0;1;3
25/09/2017;01/10/2017;SER;718;468;250;283;185;250;98;0;0
25/09/2017;01/10/2017;TOTAL;1.929;1.663;266;581;1.082;265;207;1;3
02/10/2017;08/10/2017;BICICLETA PUBLICA;1.255;1.243;12;183;1.060;12;124;0;0
02/10/2017;08/10/2017;SEÑALIZACION ;147;147;0;147;0;0;0;0;4
02/10/2017;08/10/2017;SER;851;555;296;196;359;296;105;0;0
02/10/2017;08/10/2017;TOTAL;2.253;1.945;308;526;1.419;308;229;0;4
09/10/2017;15/10/2017;BICICLETA PUBLICA;1.115;1.104;11;117;987;11;103;0;1
09/10/2017;15/10/2017;SEÑALIZACION ;119;119;0;119;0;0;2;0;6
09/10/2017;15/10/2017;SER;362;246;116;40;206;116;26;0;0
09/10/2017;15/10/2017;TOTAL;1.596;1.469;127;276;1.193;127;131;0;7
16/10/2017;22/10/2017;BICICLETA PUBLICA;1.093;1.077;16;104;973;16;84;0;0
16/10/2017;22/10/2017;SEÑALIZACION ;103;103;0;103;0;0;0;0;7
16/10/2017;22/10/2017;SER;677;361;316;199;162;316;73;0;0
16/10/2017;22/10/2017;TOTAL;1.873;1.541;332;406;1.135;332;157;0;7
23/10/2017;29/10/2017;BICICLETA PUBLICA;886;870;16;93;777;16;71;0;0
23/10/2017;29/10/2017;SEÑALIZACION ;90;90;0;90;0;0;0;0;3
23/10/2017;29/10/2017;SER;290;168;122;54;114;122;35;0;0
23/10/2017;29/10/2017;TOTAL;1.266;1.128;138;237;891;138;106;0;3
30/10/2017;05/11/2017;BICICLETA PUBLICA;786;774;12;89;685;11;74;1;0
30/10/2017;05/11/2017;SEÑALIZACION ;75;75;0;75;0;0;0;0;2
30/10/2017;05/11/2017;SER;317;113;204;71;42;204;41;0;0
30/10/2017;05/11/2017;TOTAL;1.178;962;216;235;727;215;115;1;2
06/11/2017;12/11/2017;BICICLETA PUBLICA;749;738;11;74;664;10;60;1;0
06/11/2017;12/11/2017;SEÑALIZACION ;115;114;1;114;0;1;0;0;4
06/11/2017;12/11/2017;SER;484;275;209;145;130;209;72;0;0
06/11/2017;12/11/2017;TOTAL;1.348;1.127;221;333;794;220;132;1;4
13/11/2017;19/11/2017;BICICLETA PUBLICA;794;780;14;96;684;14;85;0;0
13/11/2017;19/11/2017;SEÑALIZACION ;125;125;0;125;0;0;0;0;4
13/11/2017;19/11/2017;SER;507;397;110;164;233;110;97;0;0
13/11/2017;19/11/2017;TOTAL;1.426;1.302;124;385;917;124;182;0;4
20/11/2017;26/11/2017;BICICLETA PUBLICA;828;819;9;92;727;9;85;0;0
20/11/2017;26/11/2017;SEÑALIZACION ;115;115;0;115;0;0;0;0;2
20/11/2017;26/11/2017;SER;211;174;37;110;64;37;37;0;0
20/11/2017;26/11/2017;TOTAL;1.154;1.108;46;317;791;46;122;0;2
27/11/2017;03/12/2017;BICICLETA PUBLICA;589;581;8;104;477;8;83;0;0
27/11/2017;03/12/2017;SEÑALIZACION ;96;96;0;96;0;0;0;0;2
27/11/2017;03/12/2017;SER;711;576;135;310;266;135;147;0;0
27/11/2017;03/12/2017;TOTAL;1.396;1.253;143;510;743;143;230;0;2
04/12/2017;10/12/2017;BICICLETA PUBLICA;428;414;14;58;356;14;33;0;0
04/12/2017;10/12/2017;SEÑALIZACION ;71;71;0;71;0;0;0;0;1
04/12/2017;10/12/2017;SER;298;292;6;182;110;6;29;0;0
04/12/2017;10/12/2017;TOTAL;797;777;20;311;466;20;62;0;1
11/12/2017;17/12/2017;BICICLETA PUBLICA;576;570;6;96;474;6;78;0;0
11/12/2017;17/12/2017;SEÑALIZACION ;85;85;0;85;0;0;0;0;3
11/12/2017;17/12/2017;SER;762;463;299;405;58;299;85;0;0
